County,Predicted_Prices
0,"[1233858.0, 1198474.0, 1228391.75]"
1,"[1021319.0, 1001722.5, 1032268.0625]"
2,"[1587412.875, 1532891.0, 1557465.75]"
3,"[966218.625, 947138.8125, 978819.5625]"
4,"[1485937.25, 1423151.25, 1453913.25]"
5,"[716590.3125, 714299.875, 745654.1875]"
6,"[1521181.625, 1467784.0, 1494098.5]"
7,"[1632314.75, 1566779.0, 1593180.75]"
8,"[922372.5625, 908664.8125, 939638.375]"
